"Date","Description","Original Description","Amount","Transaction Type","Category","Account Name","Labels","Notes"
"4/30/2023","MTA*NYCT PAYGO","MTA*NYCT PAYGO","2.75","debit","Public Transportation","CREDIT CARD","",""
"4/30/2023","TST* DIG INN- SOHO 70 PRI","TST* DIG INN- SOHO 70 PRI","15.82","debit","Restaurants","CREDIT CARD","",""
"4/30/2023","MTA*NYCT PAYGO","MTA*NYCT PAYGO","2.75","debit","Public Transportation","CREDIT CARD","",""
"4/30/2023","MTA*NYCT PAYGO","MTA*NYCT PAYGO","2.75","debit","Public Transportation","CREDIT CARD","",""
"4/30/2023","MTA*NYCT PAYGO","MTA*NYCT PAYGO","2.75","debit","Public Transportation","CREDIT CARD","",""
"4/30/2023","MTA*NYCT PAYGO","MTA*NYCT PAYGO","2.75","debit","Public Transportation","CREDIT CARD","",""
"4/30/2023","Interest earned in April","Interest earned in April","39.52","credit","Interest Income","Cash checking","",""
"4/28/2023","MTA*NYCT PAYGO","MTA*NYCT PAYGO","2.75","debit","Public Transportation","CREDIT CARD","",""
"4/28/2023","MTA*NYCT PAYGO","MTA*NYCT PAYGO","2.75","debit","Public Transportation","CREDIT CARD","",""
"4/28/2023","Fiserv Solutions-Payroll","Fiserv Solutions-Payroll","3916.79","credit","Paycheck","Cash checking","",""
"4/28/2023","Dividend Received","Dividend Received","0.75","credit","Dividend & Cap Gains","Rolled over 401(k)s","",""
"4/28/2023","Tax-Loss Harvesting","Tax-Loss Harvesting","0.06","credit","Investments","Individual Investment Account","",""
"4/28/2023","Bank InterestML DIRECT DEPOSIT PROGRM FROM 03/31...","Bank InterestML DIRECT DEPOSIT PROGRM FROM 03/31...","0.05","credit","Transfer","CMA-Edge XXX-X7530","",""
"4/27/2023","Amazon.com*HF4OA8RV0","Amazon.com*HF4OA8RV0","51.66","debit","Shopping","CREDIT CARD","",""
"4/27/2023","SQ *GIOVANNI'S LIQUORS","SQ *GIOVANNI'S LIQUORS","26.70","debit","Alcohol & Bars","CREDIT CARD","",""
"4/27/2023","SEAMLSSSLPLUS","SEAMLSSSLPLUS","10.65","debit","Food Delivery","CREDIT CARD","",""
"4/27/2023","MTA*NYCT PAYGO","MTA*NYCT PAYGO","2.75","debit","Public Transportation","CREDIT CARD","",""
"4/27/2023","MTA*NYCT PAYGO","MTA*NYCT PAYGO","2.75","debit","Public Transportation","CREDIT CARD","",""
"4/27/2023","MTA*NYCT PAYGO","MTA*NYCT PAYGO","2.75","debit","Public Transportation","CREDIT CARD","",""
"4/26/2023","PUBLIC SERVICE   DES:PSEG       ID:XXXXX6939505              INDN:SAMUELE ZANCA           CO ID:XXXXX12800 PPD","PUBLIC SERVICE   DES:PSEG       ID:XXXXX6939505              INDN:SAMUELE ZANCA           CO ID:XXXXX12800 PPD","180.79","debit","Utilities","Adv Plus Banking - 2742","",""
"4/26/2023","TST* DIG INN- SOHO 70 PRI","TST* DIG INN- SOHO 70 PRI","15.82","debit","Restaurants","CREDIT CARD","",""
"4/26/2023","MTA*NYCT PAYGO","MTA*NYCT PAYGO","2.75","debit","Public Transportation","CREDIT CARD","",""
"4/26/2023","MTA*PATH SMARTCARD/SRT","MTA*PATH SMARTCARD/SRT","2.75","debit","Public Transportation","CREDIT CARD","",""
"4/26/2023","OLIVE'S","OLIVE'S","16.27","debit","Restaurants","CREDIT CARD","",""
"4/25/2023","GITHUB, INC.","GITHUB, INC.","10.00","debit","Electronics & Software","CREDIT CARD","",""
"4/25/2023","3 JOURNAL SQUARE AP","3 JOURNAL SQUARE AP","625.00","debit","Mortgage & Rent","CREDIT CARD","",""
"4/25/2023","MTA*NYCT PAYGO","MTA*NYCT PAYGO","2.75","debit","Public Transportation","CREDIT CARD","",""
